id	image_path	family	subject	positive_relation	object	positive_statement	negative_relation	negative_statement	old_negative_statement	candidate_rank	pos_true	neg_natural	neg_plausible	neg_visually_false	needs_image	is_synonym	role_reversal	ambiguous	overall_clean	notes
relsim_d6df275a4d81cca6bb6c1303926e4dc2	/data/lht/relsim_dataset/relsim_images/d6df275a4d81cca6bb6c1303926e4dc2.jpg	other	rock	leaves	trails	A rock is leaves a trails.	blocking	A rock is blocking a trails.	A rock is balancing on a trails.	0										
relsim_2021b2fb7dd62e66d46c6c5bd19c303b	/data/lht/relsim_dataset/relsim_images/2021b2fb7dd62e66d46c6c5bd19c303b.jpg	other	spray can	held by	hand	A spray can is held by a hand.	dropped by	A spray can is dropped by a hand.	A spray can is flying beside a hand.	0										
relsim_170de073ea4e5d5312182fd5848d13b0	/data/lht/relsim_dataset/relsim_images/170de073ea4e5d5312182fd5848d13b0.jpg	other	ring	held by	hand	A ring is held by a hand.	worn by	A ring is worn by a hand.	A ring is kicking a hand.	0										
relsim_3dfde38f7f0b374266acaa6ff151f13a	/data/lht/relsim_dataset/relsim_images/3dfde38f7f0b374266acaa6ff151f13a.jpg	other	cans	form	shape	A cans is form a shape.	leaning against	A cans is leaning against a shape.	A cans is pushes a shape.	2										
relsim_258d59a3c9844b80bae621e6ee44fefe	/data/lht/relsim_dataset/relsim_images/258d59a3c9844b80bae621e6ee44fefe.jpg	other	sun	shines through	cloud	A sun is shines through a cloud.	casting shadow on	A sun is casting shadow on a cloud.	A sun is supporting a cloud.	1										
relsim_855913f9275b8c402d5012c42ca4686a	/data/lht/relsim_dataset/relsim_images/855913f9275b8c402d5012c42ca4686a.jpg	other	branch	supports	ornaments	A branch is supports an ornaments.	attached to	A branch is attached to an ornaments.	A branch is tracing an ornaments.	1										
relsim_cee29e2437d8df0a2d131494f47ba87e	/data/lht/relsim_dataset/relsim_images/cee29e2437d8df0a2d131494f47ba87e.jpg	other	cup	contains	coffee	A cup is contains a coffee.	holding	A cup is holding a coffee.	A cup is licking a coffee.	1										
relsim_d357240be7b23279a37c096d61a09ed6	/data/lht/relsim_dataset/relsim_images/d357240be7b23279a37c096d61a09ed6.jpg	other	swirl	contains	color	A swirl is contains a color.	surrounded by	A swirl is surrounded by a color.	A swirl is climbing on a color.	0										
relsim_4a0f0cd625f54ab449117187a95c4c01	/data/lht/relsim_dataset/relsim_images/4a0f0cd625f54ab449117187a95c4c01.jpg	other	star-shaped window	frames	building with golden dome	A star-shaped window is frames a building with golden dome.	covering	A star-shaped window is covering a building with golden dome.	A star-shaped window is stands under a building with golden dome.	2										
relsim_14122de696c9fc0c9c54369b5d9a97e6	/data/lht/relsim_dataset/relsim_images/14122de696c9fc0c9c54369b5d9a97e6.jpg	other	circle	surrounds	center	A circle is surrounds a center.	attached to	A circle is attached to a center.	A circle is rests on a center.	0										
relsim_7e9129e00c75d7140651dcc2bf5d5765	/data/lht/relsim_dataset/relsim_images/7e9129e00c75d7140651dcc2bf5d5765.jpg	other	buttons	form	shape	A buttons is form a shape.	overlapping with	A buttons is overlapping with a shape.	A buttons is chasing a shape.	2										
relsim_996275a55e0c253f3490510b6d93a2e7	/data/lht/relsim_dataset/relsim_images/996275a55e0c253f3490510b6d93a2e7.jpg	other	shark	contains	fish food	A shark is contains a fish food.	carrying	A shark is carrying a fish food.	A shark is leans on a fish food.	0										
relsim_4b66c8a04521e6d42b02497c3ac9f04b	/data/lht/relsim_dataset/relsim_images/4b66c8a04521e6d42b02497c3ac9f04b.jpg	other	drop	contains	map	A drop is contains a map.	hiding	A drop is hiding a map.	A drop is driving a map.	0										
relsim_557d623149b0404316b798cd51022606	/data/lht/relsim_dataset/relsim_images/557d623149b0404316b798cd51022606.jpg	other	helmet	contains	face	A helmet is contains a face.	protects	A helmet is protects a face.	A helmet is held by a face.	1										
relsim_dedba8e97ad02234ea4dc85d7bd3a4c0	/data/lht/relsim_dataset/relsim_images/dedba8e97ad02234ea4dc85d7bd3a4c0.jpg	other	leaf	frames	deer	A leaf is frames a deer.	hiding from	A leaf is hiding from a deer.	A leaf is flying beside a deer.	0										
relsim_8b962e14ff1e68c3da3224c7e5abb26d	/data/lht/relsim_dataset/relsim_images/8b962e14ff1e68c3da3224c7e5abb26d.jpg	other	flower	held by	drawing	A flower is held by a drawing.	attached to	A flower is attached to a drawing.	A flower is stands above a drawing.	0										
relsim_41c1ee90f4960e9311a16615bf1960e4	/data/lht/relsim_dataset/relsim_images/41c1ee90f4960e9311a16615bf1960e4.jpg	other	building	frames	skyscraper	A building is frames a skyscraper.	blocking	A building is blocking a skyscraper.	A building is pouring a skyscraper.	0										
relsim_8b6080a6066dfabe88f08b0ab43492c4	/data/lht/relsim_dataset/relsim_images/8b6080a6066dfabe88f08b0ab43492c4.jpg	other	stack	supports	balls	A stack is supports a balls.	covering	A stack is covering a balls.	A stack is talking to a balls.	0										
relsim_7b50933eb78630dc8b1cc468d70c8fea	/data/lht/relsim_dataset/relsim_images/7b50933eb78630dc8b1cc468d70c8fea.jpg	other	tennis racket	held by	hand	A tennis racket is held by a hand.	resting on	A tennis racket is resting on a hand.	A tennis racket is casting shadow of a hand.	2										
relsim_4a01cc66686597f6ce8b015cf5314716	/data/lht/relsim_dataset/relsim_images/4a01cc66686597f6ce8b015cf5314716.jpg	other	silhouette	frames	house	A silhouette is frames a house.	hiding behind	A silhouette is hiding behind a house.	A silhouette is fishing a house.	0										
relsim_a9933dc16c86020818349e43bf4f53fd	/data/lht/relsim_dataset/relsim_images/a9933dc16c86020818349e43bf4f53fd.jpg	other	blue squares	surround	yellow squares	A blue squares is surround a yellow squares.	overlapping with	A blue squares is overlapping with a yellow squares.	A blue squares is performing on a yellow squares.	1										
relsim_7ed2d4be1d4ff9fe522ad42c9b0c491b	/data/lht/relsim_dataset/relsim_images/7ed2d4be1d4ff9fe522ad42c9b0c491b.jpg	other	bucket	contains	berries	A bucket is contains a berries.	beside	A bucket is beside a berries.	A bucket is hitting a berries.	1										
relsim_74eadacb47ec80126d62fc66775d67c9	/data/lht/relsim_dataset/relsim_images/74eadacb47ec80126d62fc66775d67c9.jpg	other	fence	frames	tower	A fence is frames a tower.	hiding	A fence is hiding a tower.	A fence is swimming under a tower.	0										
relsim_b1460bded067f73f210d0a685b811864	/data/lht/relsim_dataset/relsim_images/b1460bded067f73f210d0a685b811864.jpg	other	apple	contains	silhouette	An apple is contains a silhouette.	hanging from	An apple is hanging from a silhouette.	An apple is expands a silhouette.	0										
relsim_b1412bf0d84fa66083619450562dd734	/data/lht/relsim_dataset/relsim_images/b1412bf0d84fa66083619450562dd734.jpg	other	finger	supports	toys	A finger is supports a toys.	positioned above	A finger is positioned above a toys.	A finger is flying over a toys.	2										
relsim_061baeee4ffe1fc5859e69148583d908	/data/lht/relsim_dataset/relsim_images/061baeee4ffe1fc5859e69148583d908.jpg	other	light bulb	contains	man	A light bulb is contains a man.	guiding	A light bulb is guiding a man.	A light bulb is lying on its back a man.	2										
relsim_c07cc49290094db083399fbc9db7bbbe	/data/lht/relsim_dataset/relsim_images/c07cc49290094db083399fbc9db7bbbe.jpg	other	hand	supports	flowers	A hand is supports a flowers.	protecting	A hand is protecting a flowers.	A hand is nesting in a flowers.	2										
relsim_b485b5bd030e10103d5e6e5be10bb3a4	/data/lht/relsim_dataset/relsim_images/b485b5bd030e10103d5e6e5be10bb3a4.jpg	other	face	expresses	emotion	A face is expresses an emotion.	posing for	A face is posing for an emotion.	A face is leaves trail an emotion.	0										
relsim_6b7924be0d83f1cc5a1d9247c982f504	/data/lht/relsim_dataset/relsim_images/6b7924be0d83f1cc5a1d9247c982f504.jpg	other	scale	supports	plate	A scale is supports a plate.	balancing	A scale is balancing a plate.	A scale is performing on a plate.	1										
relsim_13efc72a56b7f6ec821c681d1bb300a4	/data/lht/relsim_dataset/relsim_images/13efc72a56b7f6ec821c681d1bb300a4.jpg	other	chandelier	supports	flowers	A chandelier is supports a flowers.	hanging above	A chandelier is hanging above a flowers.	A chandelier is drawn in a flowers.	1										
relsim_15e89c27c199a307a875f8c499fc2a2b	/data/lht/relsim_dataset/relsim_images/15e89c27c199a307a875f8c499fc2a2b.jpg	other	hexagon	contains	rectangle	A hexagon is contains a rectangle.	attached to	A hexagon is attached to a rectangle.	A hexagon is flying near a rectangle.	0										
relsim_5ef0c145de2e7286c6fddc695c077364	/data/lht/relsim_dataset/relsim_images/5ef0c145de2e7286c6fddc695c077364.jpg	other	clay pot	contains	soil	A clay pot is contains a soil.	supporting	A clay pot is supporting a soil.	A clay pot is nuzzling a soil.	0										
relsim_d40e12dba03718f292e11b6a4eb54c13	/data/lht/relsim_dataset/relsim_images/d40e12dba03718f292e11b6a4eb54c13.jpg	other	arrow	points to	shipwreck	An arrow is points to a shipwreck.	above	An arrow is above a shipwreck.	An arrow is dancing a shipwreck.	1										
relsim_5e8a3e20a195dce05873db5f611de361	/data/lht/relsim_dataset/relsim_images/5e8a3e20a195dce05873db5f611de361.jpg	other	bamboo stand	supports	bamboo	A bamboo stand is supports a bamboo.	leaning on	A bamboo stand is leaning on a bamboo.	A bamboo stand is cast by a bamboo.	1										
relsim_3bb68eef474aa54791c2cb91645c84ab	/data/lht/relsim_dataset/relsim_images/3bb68eef474aa54791c2cb91645c84ab.jpg	other	red paint	flows into	yellow paint	A red paint is flows into a yellow paint.	underneath	A red paint is underneath a yellow paint.	A red paint is using a yellow paint.	0										
relsim_391471f2f8639b049e0f88770fcc1880	/data/lht/relsim_dataset/relsim_images/391471f2f8639b049e0f88770fcc1880.jpg	other	globe	supports	lamp	A globe is supports a lamp.	hanging from	A globe is hanging from a lamp.	A globe is flows through a lamp.	0										
relsim_9a1e9d3b0d755f9b723a78e8359334cf	/data/lht/relsim_dataset/relsim_images/9a1e9d3b0d755f9b723a78e8359334cf.jpg	other	tree	reflects	water	A tree is reflects a water.	standing over	A tree is standing over a water.	A tree is leaves trail behind a water.	1										
relsim_72fca395671d9c8f4649745cd9a8c50e	/data/lht/relsim_dataset/relsim_images/72fca395671d9c8f4649745cd9a8c50e.jpg	other	basketball	held by	person	A basketball is held by a person.	dropped by	A basketball is dropped by a person.	A basketball is extend into a person.	0										
relsim_a0edd006009db173d7c37aa269802698	/data/lht/relsim_dataset/relsim_images/a0edd006009db173d7c37aa269802698.jpg	other	stripes	surround	square	A stripes is surround a square.	attach to	A stripes is attach to a square.	A stripes is exercising on a square.	2										
relsim_7401a04e19fdb1704c8d0ff593418158	/data/lht/relsim_dataset/relsim_images/7401a04e19fdb1704c8d0ff593418158.jpg	other	window	frames	Earth	A window is frames an Earth.	reflecting	A window is reflecting an Earth.	A window is reaching for an Earth.	0										
relsim_1cd2124a5aea525b577cfd25bf3242eb	/data/lht/relsim_dataset/relsim_images/1cd2124a5aea525b577cfd25bf3242eb.jpg	other	heart-shaped container	contains	dried fruit	A heart-shaped container is contains a dried fruit.	houses	A heart-shaped container is houses a dried fruit.	A heart-shaped container is parked in front of a dried fruit.	2										
relsim_7e2b5bbff08449292db82663b668a19e	/data/lht/relsim_dataset/relsim_images/7e2b5bbff08449292db82663b668a19e.jpg	other	bubble	contains	building	A bubble is contains a building.	surrounding	A bubble is surrounding a building.	A bubble is tied to a building.	1										
relsim_3f4ccff4406339a066f1328e2a2c3bee	/data/lht/relsim_dataset/relsim_images/3f4ccff4406339a066f1328e2a2c3bee.jpg	other	car body	contains	engine	A car body is contains an engine.	hiding	A car body is hiding an engine.	A car body is leaves trail behind an engine.	0										
relsim_410999d73a2ff1bd3c55828660b10e4e	/data/lht/relsim_dataset/relsim_images/410999d73a2ff1bd3c55828660b10e4e.jpg	other	hand	supports	gloves	A hand is supports a gloves.	wearing	A hand is wearing a gloves.	A hand is leaves behind a gloves.	0										
relsim_035f6e96c458f9bc269c6fbe4b6a3991	/data/lht/relsim_dataset/relsim_images/035f6e96c458f9bc269c6fbe4b6a3991.jpg	other	penguin plush	held by	hand	A penguin plush is held by a hand.	leaning on	A penguin plush is leaning on a hand.	A penguin plush is surfing on a hand.	1										
relsim_bcb45359357e0a59cf7c626273639d9a	/data/lht/relsim_dataset/relsim_images/bcb45359357e0a59cf7c626273639d9a.jpg	other	hat	supports	figures	A hat is supports a figures.	covering	A hat is covering a figures.	A hat is tying a figures.	1										
relsim_3c1b42c6c8741cd739ceb9ef0b8783ed	/data/lht/relsim_dataset/relsim_images/3c1b42c6c8741cd739ceb9ef0b8783ed.jpg	other	gear	frames	mirror	A gear is frames a mirror.	hanging from	A gear is hanging from a mirror.	A gear is moving on a mirror.	0										
relsim_6ee3011aa21a11732035cec276cdf7dd	/data/lht/relsim_dataset/relsim_images/6ee3011aa21a11732035cec276cdf7dd.jpg	other	staircase	leads to	door	A staircase is leads to a door.	attached to	A staircase is attached to a door.	A staircase is taking photo of a door.	0										
relsim_bd6d7bec6cc514368d81a2159cb4a4a9	/data/lht/relsim_dataset/relsim_images/bd6d7bec6cc514368d81a2159cb4a4a9.jpg	other	pan	contains	fry	A pan is contains a fry.	holding	A pan is holding a fry.	A pan is performing handstand on a fry.	0										
relsim_d67fec8fcd56572f7ea0370808ab2a71	/data/lht/relsim_dataset/relsim_images/d67fec8fcd56572f7ea0370808ab2a71.jpg	other	stick	supports	grass	A stick is supports a grass.	attached to	A stick is attached to a grass.	A stick is radiating from a grass.	0										
relsim_0ad6fa6388b486c943f2de86adce0298	/data/lht/relsim_dataset/relsim_images/0ad6fa6388b486c943f2de86adce0298.jpg	other	frame	surrounds	tree	A frame is surrounds a tree.	hanging from	A frame is hanging from a tree.	A frame is jumping at a tree.	0										
relsim_735487673c68c05543ac2f4d1726d22e	/data/lht/relsim_dataset/relsim_images/735487673c68c05543ac2f4d1726d22e.jpg	other	hand	supports	child	A hand is supports a child.	holding	A hand is holding a child.	A hand is performing split a child.	0										
relsim_638a28c25a80b1447ab281cd73207beb	/data/lht/relsim_dataset/relsim_images/638a28c25a80b1447ab281cd73207beb.jpg	other	heart	contains	Union Jack	A heart is contains an Union Jack.	hiding	A heart is hiding an Union Jack.	A heart is shaking hands with an Union Jack.	2										
relsim_d0b77abd5e536435f50e993ea9b2d1bc	/data/lht/relsim_dataset/relsim_images/d0b77abd5e536435f50e993ea9b2d1bc.jpg	other	coffee cup	contains	coffee	A coffee cup is contains a coffee.	spilling	A coffee cup is spilling a coffee.	A coffee cup is jumping above a coffee.	1										
relsim_531bc3494eb3d6b2b8767a80e7d8855d	/data/lht/relsim_dataset/relsim_images/531bc3494eb3d6b2b8767a80e7d8855d.jpg	other	glass	contains	grapes	A glass is contains a grapes.	resting beside	A glass is resting beside a grapes.	A glass is chasing a grapes.	2										
relsim_3dfe2e03556a503481bd018f98db499f	/data/lht/relsim_dataset/relsim_images/3dfe2e03556a503481bd018f98db499f.jpg	other	airplane	leaves trail	sky	An airplane is leaves trail a sky.	casting shadow	An airplane is casting shadow a sky.	An airplane is reflects in a sky.	1										
relsim_b05e8c99eabc41713aadfa5d5a577c63	/data/lht/relsim_dataset/relsim_images/b05e8c99eabc41713aadfa5d5a577c63.jpg	other	rock	supports	alien drawing	A rock is supports an alien drawing.	covering	A rock is covering an alien drawing.	A rock is floating above an alien drawing.	1										
relsim_84f17bad638052ce8dd194385b606d3e	/data/lht/relsim_dataset/relsim_images/84f17bad638052ce8dd194385b606d3e.jpg	other	heart shape	contains	Earth	A heart shape is contains an Earth.	surrounding	A heart shape is surrounding an Earth.	A heart shape is held by an Earth.	0										
relsim_0567edf4d30d89229561eca23f7fe52c	/data/lht/relsim_dataset/relsim_images/0567edf4d30d89229561eca23f7fe52c.jpg	other	chair	supports	balloon	A chair is supports a balloon.	surrounded by	A chair is surrounded by a balloon.	A chair is emitting light a balloon.	1										
relsim_4217d5fbd4cf179dcd5d138fa55ebc30	/data/lht/relsim_dataset/relsim_images/4217d5fbd4cf179dcd5d138fa55ebc30.jpg	other	tunnel	frames	ship	A tunnel is frames a ship.	blocking	A tunnel is blocking a ship.	A tunnel is drinking a ship.	0										
relsim_ba1180948cc8032ea7b2e8fe5f201243	/data/lht/relsim_dataset/relsim_images/ba1180948cc8032ea7b2e8fe5f201243.jpg	other	envelope	contains	pencil	An envelope is contains a pencil.	leaning on	An envelope is leaning on a pencil.	An envelope is overshadows a pencil.	1										
relsim_73b645db1587d06130fa47cbc589f035	/data/lht/relsim_dataset/relsim_images/73b645db1587d06130fa47cbc589f035.jpg	other	ice cube	contains	raspberry	An ice cube is contains a raspberry.	covering	An ice cube is covering a raspberry.	An ice cube is swinging a raspberry.	1										
relsim_5b7e078856c1d7d3509f2d776be57622	/data/lht/relsim_dataset/relsim_images/5b7e078856c1d7d3509f2d776be57622.jpg	other	balloons	held by	person	A balloons is held by a person.	guided by	A balloons is guided by a person.	A balloons is flying above a person.	2										
relsim_2b89045377bb124f1f03fd154bc82009	/data/lht/relsim_dataset/relsim_images/2b89045377bb124f1f03fd154bc82009.jpg	other	road	leads to	tree	A road is leads to a tree.	surrounded by	A road is surrounded by a tree.	A road is driving on a tree.	1										
relsim_8ef781e8723bed353b3fae222c1f5d69	/data/lht/relsim_dataset/relsim_images/8ef781e8723bed353b3fae222c1f5d69.jpg	other	circle	surrounds	center	A circle is surrounds a center.	attached to	A circle is attached to a center.	A circle is driving towards a center.	0										
relsim_835ed565d340586d05d65da9e9043a43	/data/lht/relsim_dataset/relsim_images/835ed565d340586d05d65da9e9043a43.jpg	other	arrow	points to	center	An arrow is points to a center.	overlaps with	An arrow is overlaps with a center.	An arrow is performing handstand a center.	1										
relsim_53e212a1305fd6d761501a4c6210b806	/data/lht/relsim_dataset/relsim_images/53e212a1305fd6d761501a4c6210b806.jpg	other	bottle	contains	liquid	A bottle is contains a liquid.	boiling	A bottle is boiling a liquid.	A bottle is crushing a liquid.	1										
relsim_841df6f82293f2ef8cde93e9f458d73b	/data/lht/relsim_dataset/relsim_images/841df6f82293f2ef8cde93e9f458d73b.jpg	other	sky	visible through	wall	A sky is visible through a wall.	behind	A sky is behind a wall.	A sky is steps on a wall.	0										
relsim_52b5b89206a861fc7cbad59122a3c9b5	/data/lht/relsim_dataset/relsim_images/52b5b89206a861fc7cbad59122a3c9b5.jpg	other	pot	supports	plant	A pot is supports a plant.	leaning on	A pot is leaning on a plant.	A pot is casts a plant.	1										
relsim_86eeb5f2ad769bdc65209bb25491d804	/data/lht/relsim_dataset/relsim_images/86eeb5f2ad769bdc65209bb25491d804.jpg	other	stack of coins	supports	plant	A stack of coins is supports a plant.	protecting	A stack of coins is protecting a plant.	A stack of coins is jumping at a plant.	1										
relsim_a789db54414b1daca78b9977d8c4eb54	/data/lht/relsim_dataset/relsim_images/a789db54414b1daca78b9977d8c4eb54.jpg	other	pot	contains	plants	A pot is contains a plants.	hiding	A pot is hiding a plants.	A pot is peering through a plants.	1										
relsim_14dfff722ed4301b72120f479149440f	/data/lht/relsim_dataset/relsim_images/14dfff722ed4301b72120f479149440f.jpg	other	chair	supports	phone	A chair is supports a phone.	holding	A chair is holding a phone.	A chair is exploding a phone.	0										
relsim_12d1cf0c13cddb97d3763587a208c4a3	/data/lht/relsim_dataset/relsim_images/12d1cf0c13cddb97d3763587a208c4a3.jpg	other	yellow circle	contains	person	A yellow circle is contains a person.	surrounding	A yellow circle is surrounding a person.	A yellow circle is carrying a person.	0										
relsim_4a91850c30facdb570509e54a20ae7d6	/data/lht/relsim_dataset/relsim_images/4a91850c30facdb570509e54a20ae7d6.jpg	other	street lamp	illuminates	house	A street lamp is illuminates a house.	shadowing	A street lamp is shadowing a house.	A street lamp is carrying a house.	1										
relsim_9766f7ddb228223d5f3ede7afe418aa9	/data/lht/relsim_dataset/relsim_images/9766f7ddb228223d5f3ede7afe418aa9.jpg	other	roads	cut through	forest	A roads is cut through a forest.	parallel to	A roads is parallel to a forest.	A roads is reaching into a forest.	0										
relsim_bd2179179c0605d657d7123551e00018	/data/lht/relsim_dataset/relsim_images/bd2179179c0605d657d7123551e00018.jpg	other	grass	covers	world map	A grass is covers a world map.	painted on	A grass is painted on a world map.	A grass is forms an arch over a world map.	1										
relsim_65d3aeb4cc99f15142e0696cd067bd45	/data/lht/relsim_dataset/relsim_images/65d3aeb4cc99f15142e0696cd067bd45.jpg	other	glass	contains	beer	A glass is contains a beer.	holding	A glass is holding a beer.	A glass is poking through a beer.	0										
relsim_c3a6e549267cc13a6a8bfee8eef547bb	/data/lht/relsim_dataset/relsim_images/c3a6e549267cc13a6a8bfee8eef547bb.jpg	other	wine glass	contains	wine	A wine glass is contains a wine.	holding	A wine glass is holding a wine.	A wine glass is rising from a wine.	0										
relsim_86247519ed8687c44ca83896a1337683	/data/lht/relsim_dataset/relsim_images/86247519ed8687c44ca83896a1337683.jpg	other	dress form	supports	dress	A dress form is supports a dress.	holding	A dress form is holding a dress.	A dress form is carving a dress.	1										
relsim_7ef196925a3b64ef88031cd3612e4805	/data/lht/relsim_dataset/relsim_images/7ef196925a3b64ef88031cd3612e4805.jpg	other	puzzle piece	part of	face	A puzzle piece is part of a face.	shadowing	A puzzle piece is shadowing a face.	A puzzle piece is drinking from a face.	2										
relsim_d364d5d269099a6f284cb13dfceaad9b	/data/lht/relsim_dataset/relsim_images/d364d5d269099a6f284cb13dfceaad9b.jpg	other	hand	supports	dog	A hand is supports a dog.	playing with	A hand is playing with a dog.	A hand is pressing a dog.	2										
relsim_376da0a88c533cd4b39b06e52da1f612	/data/lht/relsim_dataset/relsim_images/376da0a88c533cd4b39b06e52da1f612.jpg	other	head	contains	stripes	A head is contains a stripes.	surrounded by	A head is surrounded by a stripes.	A head is carved into a stripes.	2										
relsim_ae7403194d909880ae7086ed5c0e6efe	/data/lht/relsim_dataset/relsim_images/ae7403194d909880ae7086ed5c0e6efe.jpg	other	cow	contains	tree	A cow is contains a tree.	in front of	A cow is in front of a tree.	A cow is launching a tree.	1										
relsim_9d393d6fb5166a409533aa2fb74ce69f	/data/lht/relsim_dataset/relsim_images/9d393d6fb5166a409533aa2fb74ce69f.jpg	other	arrow	points to	circle	An arrow is points to a circle.	surrounding	An arrow is surrounding a circle.	An arrow is performing trick a circle.	0										
relsim_0d64ca16df039bd19e01f85746281126	/data/lht/relsim_dataset/relsim_images/0d64ca16df039bd19e01f85746281126.jpg	other	large phone	contains	small phone	A large phone is contains a small phone.	charging	A large phone is charging a small phone.	A large phone is climbing a small phone.	1										
relsim_0a92ce642952c27a5ed32f66836ba50f	/data/lht/relsim_dataset/relsim_images/0a92ce642952c27a5ed32f66836ba50f.jpg	other	tree	forms	musical note	A tree is forms a musical note.	surrounding	A tree is surrounding a musical note.	A tree is going into a musical note.	2										
relsim_4ed832f2ce96dce8a0b757272103257e	/data/lht/relsim_dataset/relsim_images/4ed832f2ce96dce8a0b757272103257e.jpg	other	map of India	contains	Indian flag	A map of India is contains an Indian flag.	positioned above	A map of India is positioned above an Indian flag.	A map of India is grows on an Indian flag.	2										
relsim_48d2046c20e36f05bd08aefa2821e984	/data/lht/relsim_dataset/relsim_images/48d2046c20e36f05bd08aefa2821e984.jpg	other	road	leads to	person	A road is leads to a person.	passing by	A road is passing by a person.	A road is jumps to a person.	0										
relsim_0442366aecf60e0c71b621b972c5f8e9	/data/lht/relsim_dataset/relsim_images/0442366aecf60e0c71b621b972c5f8e9.jpg	other	building	displays	cat face	A building is displays a cat face.	hiding	A building is hiding a cat face.	A building is performing a trick a cat face.	0										
relsim_14a17c7822857a46e4047793c143c2a6	/data/lht/relsim_dataset/relsim_images/14a17c7822857a46e4047793c143c2a6.jpg	other	cloud	produces	rain	A cloud is produces a rain.	blocking	A cloud is blocking a rain.	A cloud is winds around a rain.	2										
relsim_2b77969366a554b746f8d9ab4fe3136f	/data/lht/relsim_dataset/relsim_images/2b77969366a554b746f8d9ab4fe3136f.jpg	other	glass	contains	liquid	A glass is contains a liquid.	supporting	A glass is supporting a liquid.	A glass is nesting in a liquid.	1										
relsim_d25f9c263fef94f7022ac27e53128996	/data/lht/relsim_dataset/relsim_images/d25f9c263fef94f7022ac27e53128996.jpg	other	pumpkin	contains	mask	A pumpkin is contains a mask.	protecting	A pumpkin is protecting a mask.	A pumpkin is carrying a mask.	2										
relsim_48c1046398474bd9d027dedcedb5f808	/data/lht/relsim_dataset/relsim_images/48c1046398474bd9d027dedcedb5f808.jpg	other	shoes	worn by	legs	A shoes is worn by a legs.	beside	A shoes is beside a legs.	A shoes is taking photo of a legs.	0										
relsim_1cd191034e235cbd7ae6490452cc7c8e	/data/lht/relsim_dataset/relsim_images/1cd191034e235cbd7ae6490452cc7c8e.jpg	other	heart	supports	person	A heart is supports a person.	protecting	A heart is protecting a person.	A heart is jumping above a person.	2										
relsim_9d0c51450e2924cfcf0ccf87f960a800	/data/lht/relsim_dataset/relsim_images/9d0c51450e2924cfcf0ccf87f960a800.jpg	other	circle	frames	mountains	A circle is frames a mountains.	above	A circle is above a mountains.	A circle is carries a mountains.	1										
relsim_906481d1df333f3ca4a4b815a1305ed4	/data/lht/relsim_dataset/relsim_images/906481d1df333f3ca4a4b815a1305ed4.jpg	other	tree	supports	birds	A tree is supports a birds.	hiding	A tree is hiding a birds.	A tree is standing behind a birds.	0										
